Experience Level,education_level,skill_score,expected_salary_usd,hire
Mid Level,1,85,190681,1
Senior Level,1,17,66536,0
Senior Level,2,33,141558,0
Entry Level,2,18,60772,0
Entry Level,2,71,54127,0
Mid Level,3,83,172275,1
Entry Level,1,93,59928,1
Senior Level,3,35,160855,1
Mid Level,1,29,162474,1
Mid Level,2,56,68393,1
Entry Level,3,63,151402,0
Mid Level,2,50,177513,0
Senior Level,3,33,79931,0
Senior Level,3,7,194839,0
Entry Level,1,68,110567,0
Senior Level,1,66,148027,0
Mid Level,2,66,66490,1
Mid Level,2,82,103170,1
Mid Level,1,99,188382,0
Entry Level,3,27,150983,1
Senior Level,3,51,180714,1
Mid Level,2,50,152887,1
Entry Level,1,83,55561,1
Mid Level,2,60,51179,0
Entry Level,1,78,172378,0
Senior Level,1,99,66591,1
Mid Level,1,32,171786,1
Entry Level,2,22,180883,0
Entry Level,2,44,71249,0
Senior Level,3,32,163615,1
Entry Level,3,14,187206,0
Senior Level,3,93,183137,1
Mid Level,1,99,190152,0
Senior Level,1,69,196474,0
Mid Level,2,29,77604,0
Entry Level,2,44,172391,1
Entry Level,1,18,87227,1
Mid Level,1,65,53885,0
Mid Level,3,50,63408,0
Senior Level,2,63,79141,1
Mid Level,1,28,72659,0
Mid Level,2,82,76238,1
Entry Level,2,47,72787,0
Senior Level,1,0,133349,1
Mid Level,3,45,144442,0
Mid Level,1,55,142822,1
Mid Level,3,92,78768,0
Entry Level,3,74,145734,0
Senior Level,1,47,173947,0
Mid Level,2,49,144114,1
Senior Level,2,77,61323,1
Senior Level,1,13,88505,1
Mid Level,1,21,79880,1
Senior Level,1,37,139338,1
Entry Level,1,9,66841,1
Mid Level,3,3,82651,1
Entry Level,2,12,121308,0
Senior Level,3,60,119051,0
Senior Level,1,27,123641,0
Entry Level,1,92,96434,0
Senior Level,1,19,132256,0
Mid Level,3,77,50469,0
Mid Level,3,52,187199,1
Senior Level,1,40,106424,1
Mid Level,3,22,78511,0
Mid Level,3,53,106300,1
Mid Level,2,30,60346,1
Mid Level,2,53,62887,0
Mid Level,3,9,53195,0
Entry Level,1,4,75212,0
Entry Level,2,61,63717,0
Mid Level,3,89,149853,0
Mid Level,1,97,189884,0
Entry Level,1,12,78125,1
Entry Level,3,50,139165,0
Mid Level,1,40,133972,0
Mid Level,1,18,143047,1
Senior Level,2,65,88045,0
Entry Level,3,72,107820,0
Entry Level,3,61,147848,1
Senior Level,3,99,152441,1
Senior Level,2,4,86543,0
Senior Level,3,25,189129,0
Senior Level,3,23,191661,0
Mid Level,3,99,145121,1
Entry Level,1,48,156634,1
Entry Level,1,8,157740,0
Mid Level,3,18,107592,0
Senior Level,3,37,136671,1
Entry Level,3,87,89550,1
Senior Level,2,83,74025,0
Senior Level,2,93,139243,1
Entry Level,1,1,98490,1
Senior Level,3,3,109505,0
Senior Level,1,90,130800,1
Entry Level,3,92,194145,1
Entry Level,3,59,156701,1
Mid Level,2,40,112544,0
Senior Level,1,91,143139,0
Mid Level,1,38,124504,1
Senior Level,3,94,194970,1
Mid Level,1,52,158970,0
Entry Level,3,14,86191,1
Senior Level,2,76,109980,1
Entry Level,1,77,67991,1
Entry Level,3,91,182666,0
Senior Level,3,7,120348,1
Mid Level,1,17,188358,0
Senior Level,1,99,67701,1
Mid Level,3,92,94528,0
Entry Level,1,90,165923,1
Mid Level,2,31,101247,1
Entry Level,1,83,110333,1
Entry Level,1,66,152677,0
Entry Level,3,99,149147,1
Senior Level,1,69,167695,1
Senior Level,2,66,62114,0
Senior Level,1,65,177017,0
Mid Level,3,19,92774,0
Senior Level,3,26,199713,0
Senior Level,2,24,177525,0
Mid Level,3,4,87653,0
Mid Level,1,84,61879,1
Entry Level,3,40,97768,0
Mid Level,3,67,97325,1
Entry Level,2,35,53015,0
Senior Level,3,46,82463,1
Senior Level,2,30,137227,0
Senior Level,2,58,84205,1
Mid Level,1,4,163460,0
Entry Level,1,100,74320,1
Mid Level,3,3,61987,1
Senior Level,2,26,137833,1
Entry Level,1,96,119149,1
Entry Level,3,76,120500,0
Senior Level,2,14,196371,0
Mid Level,3,94,154566,0
Mid Level,2,72,180352,0
Senior Level,3,64,130588,0
Senior Level,1,43,158263,0
Senior Level,1,9,126522,0
Entry Level,1,87,102030,1
Mid Level,2,68,99905,1
Senior Level,2,43,161303,0
Entry Level,2,43,179301,0
Entry Level,1,56,166795,1
Senior Level,2,34,164282,1
Mid Level,2,26,173855,0
Mid Level,3,24,135483,0
Mid Level,2,24,65313,1
Entry Level,2,20,149861,0
Entry Level,3,5,186665,0
Senior Level,2,61,168370,1
Mid Level,1,7,77196,0
Entry Level,1,61,100670,0
Senior Level,1,88,105338,1
Mid Level,1,37,117578,1
Senior Level,2,8,55068,1
Senior Level,2,30,187785,1
Senior Level,2,6,76839,0
Entry Level,1,77,177967,1
Senior Level,3,46,179660,1
Entry Level,1,98,126889,0
Senior Level,1,84,151784,1
Entry Level,3,59,107878,1
Senior Level,2,34,105263,0
Mid Level,1,16,101126,1
Mid Level,2,75,196808,0
Entry Level,1,78,63756,1
Senior Level,2,89,117257,1
Senior Level,2,94,141148,1
Mid Level,3,47,163146,1
Entry Level,3,72,85145,1
Entry Level,3,92,68336,1
Mid Level,3,28,61129,0
Entry Level,2,18,141050,1
Senior Level,1,96,101943,0
Entry Level,1,9,132028,0
Mid Level,1,40,79445,1
Entry Level,3,68,63625,1
Entry Level,1,37,97762,0
Senior Level,2,54,70923,1
Entry Level,2,72,180327,1
Entry Level,3,16,78188,1
Entry Level,2,68,158584,1
Senior Level,1,59,112771,1
Senior Level,3,98,129657,1
Mid Level,2,68,120677,1
Mid Level,1,63,193101,1
Entry Level,3,36,122043,1
Senior Level,1,84,95620,1
Entry Level,1,95,143854,0
Entry Level,2,94,149451,0
Mid Level,1,79,52500,1
Senior Level,3,3,80777,1
Senior Level,1,52,139278,1
Mid Level,2,4,64423,0
Senior Level,1,58,84840,0
Mid Level,3,77,120939,0
Entry Level,3,14,167390,0
Mid Level,3,66,58826,0
Senior Level,2,51,83492,0
Entry Level,2,36,127171,0
Senior Level,1,84,60067,0
Mid Level,3,66,63354,1
Entry Level,2,77,191096,1
Senior Level,1,87,155366,0
Entry Level,1,82,189647,1
Entry Level,2,8,104301,1
Senior Level,1,76,192288,1
Senior Level,1,91,95820,0
Mid Level,2,60,194724,0
Senior Level,2,88,152311,0
Mid Level,3,60,56586,1
Entry Level,2,100,185025,0
Entry Level,3,87,120950,1
Senior Level,3,97,79333,1
Mid Level,2,43,177305,0
Senior Level,1,40,92766,0
Mid Level,2,96,69185,0
Entry Level,1,22,76837,0
Entry Level,1,18,133100,1
Entry Level,2,88,106211,0
Senior Level,3,1,192218,0
Senior Level,2,35,63776,1
Mid Level,2,74,183634,1
Entry Level,3,82,136978,1
Entry Level,3,6,73449,0
Mid Level,3,12,186394,1
Entry Level,2,1,84226,1
Senior Level,2,50,183630,0
Entry Level,3,24,164845,1
Mid Level,2,50,87258,0
Mid Level,2,70,131858,0
Senior Level,3,57,77416,0
Entry Level,1,23,180670,0
Senior Level,1,82,159753,0
Entry Level,1,33,163658,0
Entry Level,1,16,183742,1
Mid Level,2,15,97398,1
Mid Level,2,55,195874,0
Mid Level,2,80,104116,0
Mid Level,1,85,176977,1
Entry Level,3,20,144271,0
Senior Level,1,15,102703,0
Mid Level,1,63,129433,1
Senior Level,3,82,81794,0
Mid Level,3,82,65823,1
Mid Level,2,40,83451,0
Mid Level,1,82,114113,1
Mid Level,2,37,62537,1
Mid Level,1,86,83330,0
Mid Level,2,30,150135,1
Senior Level,2,86,142109,0
Entry Level,3,20,120941,1
Mid Level,1,3,133535,1
Senior Level,1,52,50925,0
Entry Level,3,50,69430,1
Mid Level,2,9,107612,0
Mid Level,3,78,77056,0
Senior Level,3,63,169731,1
Mid Level,1,62,159371,1
Senior Level,3,41,143025,1
Senior Level,1,91,91324,0
Entry Level,3,37,130206,1
Senior Level,2,59,166133,0
Mid Level,2,13,170883,1
Mid Level,1,32,127068,1
Mid Level,1,81,180925,0
Entry Level,3,2,98045,0
Senior Level,2,40,99888,0
Entry Level,1,74,130720,0
Mid Level,3,80,61477,1
Entry Level,3,95,199006,0
Senior Level,1,32,71788,1
Senior Level,3,89,106966,1
Mid Level,3,24,141033,0
Entry Level,1,58,61405,1
Mid Level,3,48,179580,1
Senior Level,3,82,196115,0
Entry Level,2,76,74986,0
Mid Level,1,3,172144,1
Mid Level,2,17,149861,1
Mid Level,2,81,114483,0
Mid Level,1,6,80971,1
Entry Level,3,14,68322,0
Entry Level,1,99,162207,0
Entry Level,1,78,116290,0
Mid Level,1,27,75838,1
Mid Level,2,38,56435,1
Senior Level,3,64,121035,0
Entry Level,3,83,164270,0
Entry Level,2,23,135526,1
Entry Level,1,10,151778,1
Entry Level,3,76,124505,0
Mid Level,3,61,131679,1
Mid Level,3,71,50221,1
Mid Level,3,29,123277,0
Senior Level,1,36,113322,1
Mid Level,3,47,176811,0
Mid Level,3,68,153612,1
Entry Level,1,6,121487,0
Senior Level,1,54,104500,0
Entry Level,3,8,137628,1
Entry Level,2,38,170669,0
Entry Level,1,69,178625,0
Mid Level,1,84,183806,1
Senior Level,3,70,147813,1
Mid Level,2,78,163024,0
Senior Level,2,19,149993,0
Senior Level,1,30,144171,0
Mid Level,2,67,124350,1
Mid Level,1,77,51884,1
Mid Level,1,43,160290,0
Mid Level,2,74,172169,1
Mid Level,3,53,140328,0
Entry Level,3,99,95813,0
Mid Level,1,56,115481,1
Senior Level,2,7,139625,1
Senior Level,2,79,114893,1
Mid Level,2,63,58321,1
Mid Level,2,69,165941,1
Senior Level,3,46,129948,0
Senior Level,3,8,174013,0
Senior Level,3,57,111640,0
Senior Level,1,10,113300,1
Entry Level,1,35,103292,1
Senior Level,2,94,149554,1
Mid Level,1,24,99057,1
Entry Level,1,32,147685,0
Senior Level,1,61,137917,1
Entry Level,1,21,132189,1
Mid Level,3,35,61554,0
Senior Level,2,22,165393,0
Mid Level,1,14,80770,0
Senior Level,2,92,83051,1
Senior Level,2,61,146393,1
Mid Level,1,22,82730,0
Entry Level,3,34,91187,1
Entry Level,2,98,64896,0
Entry Level,3,89,90866,0
Entry Level,1,98,68637,1
Mid Level,3,92,182231,1
Entry Level,1,91,194540,1
Entry Level,3,87,128439,1
Mid Level,3,71,130244,1
Mid Level,1,11,93025,0
Mid Level,3,72,71626,1
Entry Level,1,29,154243,0
Senior Level,1,98,114253,0
Mid Level,2,79,61325,0
Mid Level,2,52,154456,1
Senior Level,1,15,104964,0
Entry Level,3,39,117313,1
Senior Level,1,14,107724,0
Mid Level,3,36,113268,0
Entry Level,3,12,143781,1
Mid Level,1,35,124934,1
Entry Level,3,54,165378,0
Senior Level,1,82,121898,1
Entry Level,3,25,154207,1
Mid Level,1,95,124216,1
Entry Level,2,12,84645,1
Senior Level,1,80,190896,0
Mid Level,3,14,134924,1
Entry Level,1,76,73712,1
Entry Level,2,78,193371,1
Entry Level,2,90,114089,0
Entry Level,2,89,177708,1
Entry Level,3,7,66274,1
Mid Level,3,17,77107,0
Senior Level,1,97,89919,0
Mid Level,1,92,140864,1
Entry Level,2,16,69512,1
Senior Level,3,87,169236,0
Entry Level,3,4,143175,0
Mid Level,2,60,199993,1
Entry Level,2,74,177867,1
Entry Level,2,48,181738,1
Mid Level,1,40,152945,1
Senior Level,2,0,187309,1
Senior Level,1,18,160076,0
Mid Level,2,37,173596,1
Entry Level,1,97,143845,0
Entry Level,1,96,177449,0
Mid Level,1,16,199515,1
Entry Level,3,63,60373,1
Entry Level,3,57,197817,0
Senior Level,3,39,52059,1
Entry Level,1,72,126010,1
Senior Level,2,85,116151,1
Mid Level,3,98,64590,0
Senior Level,3,1,84773,0
Mid Level,3,86,139169,1
Mid Level,3,98,191519,1
Mid Level,3,98,195827,0
Senior Level,3,59,142569,0
Senior Level,3,44,162092,1
Senior Level,2,69,54639,1
Entry Level,3,62,64765,1
Mid Level,1,3,132658,1
Mid Level,2,80,150708,0
Senior Level,2,70,65199,1
Mid Level,2,58,80365,1
Mid Level,2,11,80216,1
Senior Level,1,99,110109,0
Mid Level,1,19,101112,1
Mid Level,3,25,74120,0
Senior Level,2,46,199031,0
Mid Level,2,34,53349,0
Senior Level,1,4,114551,1
Mid Level,3,32,76951,0
Entry Level,2,24,196720,0
Mid Level,1,47,55014,0
Entry Level,1,53,190344,1
Entry Level,2,84,152070,1
Mid Level,3,16,52560,0
Senior Level,3,76,65610,0
Mid Level,3,90,75866,1
Senior Level,3,32,122211,0
Senior Level,3,79,196935,0
Entry Level,1,6,53287,1
Mid Level,2,80,108077,1
Entry Level,2,0,151523,0
Entry Level,1,80,82535,1
Senior Level,2,44,147419,0
Mid Level,2,36,127735,1
Senior Level,1,61,62510,1
Mid Level,3,77,125164,0
Senior Level,1,34,186411,1
Senior Level,3,31,106334,0
Mid Level,3,79,165922,1
Mid Level,1,78,119157,1
Entry Level,3,61,166256,1
Senior Level,1,67,175044,0
Senior Level,2,73,181686,0
Senior Level,2,20,140340,0
Entry Level,2,35,119222,0
Entry Level,3,17,142600,0
Mid Level,1,29,141554,0
Entry Level,3,73,168472,0
Senior Level,2,95,180698,1
Senior Level,1,48,119941,0
Mid Level,3,49,194755,0
Entry Level,3,28,68877,1
Mid Level,3,70,143166,0
Entry Level,1,10,134448,1
Entry Level,1,94,140986,1
Senior Level,2,92,70197,1
Entry Level,1,81,111914,0
Senior Level,1,40,92073,0
Mid Level,3,31,184916,1
Mid Level,2,82,71578,0
Mid Level,3,97,126427,0
Mid Level,2,34,137394,0
Entry Level,3,9,51699,1
Senior Level,1,28,86070,1
Mid Level,1,48,111240,0
Entry Level,2,77,140662,0
Entry Level,2,16,87288,0
Senior Level,1,23,147098,1
Senior Level,1,40,184744,0
Mid Level,3,78,101388,0
Senior Level,1,24,180786,1
Senior Level,1,63,195470,1
Entry Level,1,72,167746,0
Mid Level,3,10,171003,1
Entry Level,1,93,114740,0
Senior Level,1,86,69204,0
Mid Level,1,15,58231,0
Entry Level,1,26,123767,0
Senior Level,2,59,124436,1
Entry Level,2,26,154613,1
Entry Level,3,27,85520,1
Senior Level,3,91,135737,1
Entry Level,1,61,192140,0
Mid Level,3,35,174199,0
Entry Level,1,91,54295,0
Entry Level,3,58,162256,1
Entry Level,3,7,140105,1
Entry Level,2,7,129964,1
Entry Level,2,34,157912,0
Senior Level,2,85,162895,0
Entry Level,2,37,90900,1
Mid Level,1,11,191414,0
Mid Level,3,100,91384,1
Entry Level,2,25,148918,1
Senior Level,3,57,55993,0
Senior Level,2,60,194152,1
Entry Level,3,22,103081,1
Entry Level,3,40,125392,1
Mid Level,2,47,75198,1
Mid Level,1,91,162425,1
Senior Level,3,50,145652,0
Mid Level,2,99,96938,1
Mid Level,1,76,77173,1
Entry Level,2,63,195433,0
Entry Level,3,16,166082,1
Senior Level,2,3,165254,0
Senior Level,2,47,113144,1
Entry Level,2,76,119772,1
Entry Level,1,89,191172,0
Mid Level,3,95,56077,0
Mid Level,2,17,149171,1
Mid Level,3,57,89678,1
Entry Level,3,85,189316,1
Mid Level,2,37,113479,1
Mid Level,1,9,152437,0
Entry Level,1,45,110231,1
Entry Level,1,26,116668,0
Entry Level,1,97,182358,1
Entry Level,2,19,154954,0
Entry Level,3,0,141183,0
Senior Level,1,48,152298,0
Mid Level,2,48,181402,1
Mid Level,2,14,52122,0
Entry Level,2,0,156002,1
Mid Level,2,52,112868,1
Senior Level,2,37,190812,0
Entry Level,1,21,114739,0
Entry Level,1,53,77207,1
Senior Level,3,58,122085,1
Mid Level,3,39,116987,1
Senior Level,3,15,179920,0
Entry Level,2,39,73530,1
Mid Level,2,34,59609,0
Entry Level,1,88,177914,1
Mid Level,2,57,139645,1
Entry Level,2,31,90378,0
Senior Level,1,9,153602,0
Entry Level,2,96,69425,0
Senior Level,1,68,51312,0
Senior Level,1,29,108174,1
Mid Level,3,99,167722,0
Entry Level,3,79,127145,1
Mid Level,3,41,90790,0
Entry Level,3,19,147398,1
Senior Level,3,69,189278,0
Entry Level,2,46,175711,1
Mid Level,1,61,199549,1
Mid Level,1,66,123347,1
Senior Level,1,51,85417,1
Entry Level,2,19,133946,1
Senior Level,1,20,135641,0
Entry Level,2,5,185970,1
Entry Level,1,18,53398,1
Mid Level,1,72,184905,1
Senior Level,3,0,163373,0
Mid Level,1,59,146460,1
Entry Level,2,79,51600,0
Entry Level,3,89,113146,1
Mid Level,2,96,103090,1
Mid Level,2,78,59270,1
Senior Level,2,24,170255,0
Mid Level,2,53,169555,1
Senior Level,1,50,61926,0
Mid Level,3,58,83660,0
Senior Level,3,39,126767,0
Senior Level,1,77,119084,1
Entry Level,2,98,138556,1
Entry Level,2,83,106606,0
Mid Level,3,11,103331,0
Mid Level,1,31,60298,0
Mid Level,3,46,150711,0
Mid Level,3,93,156555,0
Entry Level,3,20,119267,0
Mid Level,3,3,65624,0
Senior Level,1,47,65467,0
Senior Level,1,15,64147,1
Mid Level,3,24,127194,1
Senior Level,3,97,120208,1
Mid Level,1,19,172604,0
Senior Level,2,31,159856,0
Senior Level,1,44,170305,0
Entry Level,3,21,72040,1
Entry Level,3,23,113861,0
Entry Level,2,43,153382,0
Senior Level,1,52,197738,0
Mid Level,1,41,183002,0
Entry Level,1,24,141813,1
Mid Level,2,42,69703,1
Mid Level,1,13,174482,0
Mid Level,3,67,67808,0
Senior Level,1,98,57657,1
Mid Level,1,89,72353,0
Senior Level,1,61,93974,0
Mid Level,3,10,119597,1
Mid Level,2,98,95921,1
Mid Level,2,70,196161,0
Senior Level,3,72,147524,1
Mid Level,1,74,146565,1
Senior Level,3,33,128428,1
Senior Level,3,52,105266,0
Entry Level,3,32,164164,0
Entry Level,3,78,80099,0
Senior Level,2,21,65145,0
Mid Level,3,77,193211,1
Entry Level,3,43,139286,1
Entry Level,3,96,154131,1
Senior Level,2,92,135495,1
Senior Level,2,55,142625,1
Entry Level,3,58,50952,1
Mid Level,3,23,57245,0
Mid Level,1,37,91927,1
Senior Level,3,75,123915,1
Senior Level,2,35,63081,0
Entry Level,1,71,101038,0
Entry Level,3,29,58533,0
Mid Level,2,62,53233,1
Entry Level,2,20,131899,0
Entry Level,3,39,136985,1
Senior Level,2,73,153141,1
Senior Level,1,84,127719,1
Mid Level,3,35,128599,0
Senior Level,3,0,166333,0
Senior Level,1,20,184328,1
Senior Level,1,40,96470,0
Entry Level,2,3,113912,1
Entry Level,2,5,145629,1
Mid Level,1,31,136984,0
Mid Level,3,38,69541,1
Entry Level,3,72,128982,1
Senior Level,2,4,139885,1
Senior Level,3,37,125802,0
Entry Level,3,9,50749,1
Mid Level,3,15,72715,1
Senior Level,2,89,130466,0
Senior Level,2,14,159802,0
Mid Level,1,5,109363,1
Entry Level,2,19,112834,0
Senior Level,2,67,165157,0
Mid Level,1,50,121472,1
Mid Level,1,59,132534,0
Senior Level,2,95,155725,0
Senior Level,2,25,149839,0
Senior Level,2,98,194329,0
Senior Level,2,2,137504,0
Entry Level,3,88,187648,0
Senior Level,2,82,193173,1
Senior Level,2,21,98430,0
Entry Level,1,84,93710,0
Entry Level,1,70,72139,1
Entry Level,2,1,115420,1
Mid Level,3,20,164657,1
Mid Level,3,49,99049,0
Senior Level,2,84,128441,0
Mid Level,1,54,151813,1
Senior Level,1,50,171704,0
Entry Level,2,89,193098,0
Entry Level,1,68,55540,0
Senior Level,1,28,111583,0
Senior Level,1,89,178513,1
Mid Level,2,53,143365,0
Senior Level,2,63,180727,1
Senior Level,1,61,82986,1
Entry Level,2,40,151282,0
Senior Level,2,4,164926,1
Senior Level,1,53,123461,1
Mid Level,3,35,160933,0
Senior Level,2,89,51598,1
Senior Level,3,0,99045,0
Mid Level,2,81,153634,1
Entry Level,3,41,94192,1
Mid Level,3,13,52311,1
Entry Level,2,5,159608,1
Senior Level,1,44,79399,1
Mid Level,1,3,149486,0
Mid Level,2,86,136180,0
Entry Level,1,67,59603,1
Senior Level,2,23,100318,1
Mid Level,2,74,158848,0
Entry Level,1,22,98939,0
Mid Level,2,6,182613,0
Entry Level,3,92,189739,0
Senior Level,1,59,84086,0
Mid Level,2,88,158786,0
Entry Level,3,70,75198,0
Entry Level,1,29,119842,0
Entry Level,1,62,144564,0
Senior Level,1,35,179041,0
Senior Level,1,23,80247,1
Senior Level,2,30,80477,1
Entry Level,1,72,144565,1
Mid Level,3,18,59956,0
Mid Level,3,93,82115,1
Mid Level,1,93,56780,1
Senior Level,1,100,177904,0
Entry Level,2,1,106296,0
Mid Level,2,54,162091,0
Senior Level,2,67,191873,0
Senior Level,1,81,182862,1
Entry Level,3,55,160665,1
Mid Level,2,10,84702,0
Mid Level,3,84,100386,0
Mid Level,1,69,65920,0
Entry Level,3,99,92555,0
Mid Level,1,23,62587,1
Mid Level,1,74,108601,0
Senior Level,1,64,94365,0
Mid Level,1,83,196007,0
Entry Level,1,71,182948,1
Senior Level,1,69,163567,0
Mid Level,2,49,174824,1
Senior Level,1,80,50507,0
Senior Level,3,68,112252,0
Senior Level,1,20,143027,0
Mid Level,1,71,138301,1
Entry Level,1,70,152669,1
Senior Level,2,97,111483,1
Senior Level,3,43,190888,0
Senior Level,1,6,69218,0
Senior Level,3,34,55637,1
Mid Level,3,85,64423,1
Senior Level,1,56,182483,1
Entry Level,3,4,50398,0
Senior Level,1,88,161407,0
Senior Level,3,55,189417,0
Mid Level,3,3,170167,0
Senior Level,1,80,166034,1
Mid Level,1,72,197628,0
Senior Level,2,18,56105,0
Senior Level,3,2,159407,0
Senior Level,2,56,76386,0
Mid Level,1,63,158190,1
Mid Level,2,71,118282,0
Entry Level,3,76,185960,0
Entry Level,3,21,112812,1
Mid Level,1,23,120786,0
Senior Level,3,38,123678,0
Senior Level,1,68,129362,1
Entry Level,2,19,111024,0
Entry Level,2,6,96417,1
Entry Level,1,26,191567,1
Entry Level,1,12,192278,0
Mid Level,2,59,162007,0
Entry Level,3,73,108523,0
Mid Level,3,97,178040,1
Mid Level,3,39,71122,0
Entry Level,2,66,99207,0
Senior Level,3,10,155612,0
Senior Level,2,9,198240,1
Mid Level,1,37,117223,1
Mid Level,2,100,90364,0
Entry Level,1,2,122061,0
Senior Level,3,63,161931,0
Entry Level,3,22,54665,1
Entry Level,2,30,189554,0
